unit_id	expression_barcodes	metadata_rows_candidate	matched_unique_expression_barcodes	unmatched_expression_barcodes	metadata_only_barcodes	duplicate_expression_barcodes	duplicate_metadata_barcodes	ambiguous_matches	match_rate	barcode_transformations_used	transformation_collision_count	join_status	notes
GSM8945796_donor38	16531	25341	12674	3857	0	0	12667	0	0.766680781561914	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945797_donor39	17678	17256	8830	8848	0	0	8426	0	0.4994908926349135	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945798_donor40-1	2688	1994	1182	1506	0	0	812	0	0.43973214285714285	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945799_donor40-2	4228	3586	2161	2067	0	0	1425	0	0.511116367076632	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945800_donor41-1	16368	3632	1864	14504	0	0	1768	0	0.11388074291300097	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945801_donor41-2	6709	8990	4503	2206	0	0	4487	0	0.671187956476375	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945802_donor42	7892	10362	5358	2534	0	0	5004	0	0.6789153573238723	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945803_donor43	5094	2781	1413	3681	0	0	1368	0	0.2773851590106007	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945804_donor44	1242	1956	983	259	0	0	973	0	0.7914653784219001	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945805_donor45	1601	2296	1149	452	0	0	1147	0	0.7176764522173642	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945806_donor46	13630	15167	7592	6038	0	0	7575	0	0.557006603081438	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
GSM8945807_donor47	2855	3500	1830	1025	0	0	1670	0	0.6409807355516638	REMOVE_METADATA_DONOR_SUFFIX;UNIT_SCOPE;PRIMARY_SHEET_PRECEDENCE	0	PASS	Primary=thymocyte_metadata; overlapping auxiliary sheets retained for duplicate audit and gap filling.
