analysis_group	gene	n_sample_proxy	n_age_points	youngest_age_week	oldest_age_week	detection_delta_oldest_minus_youngest	log2CPM_delta_oldest_minus_youngest	detection_spearman_rho	detection_spearman_pvalue	log2CPM_spearman_rho	log2CPM_spearman_pvalue	old_32_52wk_minus_young_1_4wk_detection_delta	old_32_52wk_minus_young_1_4wk_log2CPM_delta	age_bin_log2CPM_mann_whitney_pvalue	direction_by_oldest_minus_youngest_log2CPM	model_caution
mTEChi	Loxl3	5	5	1	52	-0.12807537185061657	-0.1770513072849056	-0.08639083877299322	0.6813593310836554	-0.22357239405752982	0.2826865212212759	-0.0734464303173461	-0.3999264546067689	0.27303633975118835	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEChi	Loxl4	5	5	1	52	-0.1590138509176785	-0.585638888643734	-0.20800313969372908	0.31840600918454987	-0.1608152308133109	0.4425293053539423	-0.03618237465099505	-0.009653728860999244	0.8501067391385259	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEClo	Lox	5	5	1	52	0.0198708447641065	1.5700011057982945	0.0879371419809176	0.6828350057418094	0.4408860215136808	0.0310483412683175	0.008957722455352785	1.3243973572219048	0.04545529484905847	aged-higher	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEClo	Loxl1	5	5	1	52	-0.10824206794676339	-0.5296323121151909	-0.2676562925841882	0.2060625074969916	-0.43911183229229767	0.031811707312607	-0.06810289287787763	-0.42897726525731983	0.037336415920662856	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEClo	Loxl2	5	5	1	52	-0.3109443697219588	-3.535625522206188	-0.7239269769136145	6.365981144801324e-05	-0.7617898902268354	1.5266155393235022e-05	-0.2166056440962282	-3.0986414886923597	0.0005173021462361984	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEClo	Loxl3	5	5	1	52	-0.04274031900684465	-0.5592205859740509	-0.02486569173023426	0.9081828168388443	0.07458082841381605	0.7290811647757975	-0.012812800226880167	-0.3442541979846596	0.7128212146058353	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
mTEClo	Loxl4	5	5	1	52	-0.14400008535887632	0.07378487692437474	-0.34012714045284714	0.10390031653366724	0.017298344908484455	0.9360575260900563	-0.07152822323820018	-0.18183663876688527	0.8382564863858263	aged-higher	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
post_Aire_mTEC	Lox	5	5	1	52	0.20833333333333331	2.370327785715542	0.25170986925964206	0.24661404636427528	0.15177535212570487	0.4893652245690635	0.09868273377045306	0.741011395127849	0.7159478589531838	aged-higher	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
post_Aire_mTEC	Loxl1	5	5	1	52	-0.1964285714285714	-0.04476032554404785	-0.19152602055116946	0.38132987126127205	0.007064870745262941	0.974477861196138	-0.1126958811169338	-0.7675467660036928	0.9296365245070707	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
post_Aire_mTEC	Loxl2	5	5	1	52	0.0	0.0	-0.3318372792267111	0.1218879901167161	-0.33517134122660075	0.11795808730697771	-0.0726268533286077	-0.7246121414135577	0.03386059283342079	flat	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
post_Aire_mTEC	Loxl3	5	5	1	52	-0.041666666666666685	-1.288066406795533	-0.09299171592388578	0.6730112941461464	-0.1874306967265182	0.39178473939688707	-0.05194341071534053	-1.5754462254790715	0.38006367933151486	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
post_Aire_mTEC	Loxl4	5	5	1	52	-0.494047619047619	-2.7306422405581	-0.3861591824898908	0.06875618680145364	-0.4445822233269036	0.03354481254143656	-0.21799954431533364	-2.392902696286897	0.027195939039834055	aged-lower	Descriptive trend over sample-proxy summaries; donor-level replicate metadata was not available in parsed colData.
