dataset_id	file_path	file_name	file_size_bytes	sha256	file_role	raw_or_processed	tracked_or_ignored	generated_or_downloaded	source_url_or_accession	verified	verification_note
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/coldata-day1.rds	coldata-day1.rds	3492	0a96e4d53c0db747f1ff26235bb1b8499ad8285f9fdac7c2d2a0adf1c6236340	processed Smart-seq2 counts/metadata	metadata	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/coldata-day2.rds	coldata-day2.rds	13584	69af251e70559ffe33b3ba17078721bc51e3542dd00479b64a09f73fc0e3de81	processed Smart-seq2 counts/metadata	metadata	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/coldata-day3.rds	coldata-day3.rds	10142	e115a57ac676f567bce94b8d9a23ac57c40f44675dbd30ec520bb27f223d86ad	processed Smart-seq2 counts/metadata	metadata	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/coldata-day4.rds	coldata-day4.rds	7245	8339211ad6f9fc3ce815f4adf4502ec282c3f10573d9032f1de46eb7a560b282	processed Smart-seq2 counts/metadata	metadata	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/coldata-day5.rds	coldata-day5.rds	14914	17818c58a3d646e842cd0446cd79fe84f3e2425e867ff4e85040df7d78ceda72	processed Smart-seq2 counts/metadata	metadata	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/counts-processed-day1.rds	counts-processed-day1.rds	1864752	aa03db048ea1219ff1a7a4e07d618b8512eb6d59df9605283dd9dc84eae364aa	processed Smart-seq2 counts/metadata	processed	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/counts-processed-day2.rds	counts-processed-day2.rds	10558018	3bfa2cce635b0cc1d3fd6a3dac0039646ce54aadbcbd0cef63dff637122a314c	processed Smart-seq2 counts/metadata	processed	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/counts-processed-day3.rds	counts-processed-day3.rds	7230146	c2e509bcac550c345cb27e36116537c377db54a6d8177880e466d0bbf308b50c	processed Smart-seq2 counts/metadata	processed	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/counts-processed-day4.rds	counts-processed-day4.rds	4968483	c11adbd06ffaf7d66f6697371ccd3cfa12ec693306f900ebd287966341e0db0e	processed Smart-seq2 counts/metadata	processed	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/counts-processed-day5.rds	counts-processed-day5.rds	9586603	374e6f2dbb03168f29c360fa88ce22b1eea40d3edc4afb9ecaf0c1475bcdb873	processed Smart-seq2 counts/metadata	processed	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
E-MTAB-8560	data/external/E-MTAB-8560/experimenthub_smartseq_rds/rowdata.rds	rowdata.rds	3532569	c79498539ccfc708a9253524632c0ce937953172bcb41d0a7252b194ef31318d	processed Smart-seq2 counts/metadata	processed	ignored/local	downloaded	BioStudies:E-MTAB-8560	YES	Local file verified; size and SHA256 computed
GSE240016	data/external/metadata/gse240016_biosample_metadata.tsv	gse240016_biosample_metadata.tsv	5321	50fb402e1f27e301433364b575827c5f899254d2b3dc261b2427852d2d16086f	public sample/run metadata	metadata	ignored/local	downloaded	GEO/SRA:GSE240016	YES	Local file verified; size and SHA256 computed
GSE240016	data/external/metadata/gse240016_geo_samples.tsv	gse240016_geo_samples.tsv	102781	4ccde0373e40c40ffe7202e453505fa6ac9423e94fd642ac9003f08e30b7cea9	public sample/run metadata	metadata	ignored/local	downloaded	GEO/SRA:GSE240016	YES	Local file verified; size and SHA256 computed
GSE240016	data/external/metadata/gse240016_sra_runinfo.tsv	gse240016_sra_runinfo.tsv	36606	d797db7511427b0196306fb9d8eb911e25aee22bf180f7a729207ed7f262c386	public sample/run metadata	metadata	ignored/local	downloaded	GEO/SRA:GSE240016	YES	Local file verified; size and SHA256 computed
GSE240016	data/external/metadata/gse240016_metadata_fetch_notes.tsv	gse240016_metadata_fetch_notes.tsv	144	8c9cd8fe08575653ea3b485a8667d4ea47636e22d91c21f1f2341a84db2fa2b9	public sample/run metadata	metadata	ignored/local	downloaded	GEO/SRA:GSE240016	YES	Local file verified; size and SHA256 computed
GSE231906	NOT_AVAILABLE	authoritative_person_sample_key			person-to-sample identity key	metadata	absent	not_available	GSE231906	NO	No locally authoritative person key; do not infer independent donors from units.
GSE147520	NOT_AVAILABLE	donor_identity_metadata			donor identity metadata	metadata	absent	not_available	GSE147520	NO	Donor independence unavailable in local object.
